inicio,fim,diff
733447,733450,1584.0
733441,733444,4100.0
733436,733440,297.0
733430,733435,2331.0
733429,733429,-649.0
733428,733428,1264.0
733426,733427,-1033.0
733422,733423,1351.0
733421,733421,-1555.0
733420,733420,147.0
733416,733419,-1773.0
733415,733415,1172.0
733414,733414,-1488.0
733402,733413,5832.0
733393,733399,1236.0
733392,733392,1669.0
733391,733391,-1048.0
733388,733388,857.0
733387,733387,-490.0
733386,733386,1032.0
733385,733385,-317.0
733381,733384,3160.0
733380,733380,-183.0
733378,733379,554.0
733377,733377,-1855.0
733374,733374,380.0
733373,733373,-257.0
733370,733372,5214.0
733360,733367,418.0
733359,733359,1619.0
733358,733358,-2887.0
733353,733357,894.0
733351,733352,1035.0
733349,733350,2987.0
733346,733346,-190.0
733343,733345,8004.0
733336,733342,5903.0
733335,733335,3040.0
733330,733332,5086.0
733328,733329,5956.0
733317,733325,11251.0
733315,733316,3776.0
733311,733314,-3674.0
733309,733310,2225.0
733307,733308,-430.0
733303,733304,7145.0
733302,733302,-3309.0
733301,733301,825.0
733300,733300,-3970.0
733295,733297,3961.0
733293,733294,-1054.0
733290,733290,536.0
733283,733289,737.0
733281,733282,2019.0
733276,733280,1342.0
733273,733275,2604.0
733269,733272,-32.0
733267,733268,629.0
733261,733266,2614.0
733259,733260,1931.0
733254,733258,358.0
733252,733253,3103.0
733245,733251,3224.0
733244,733244,770.0
733240,733241,1836.0
733237,733239,1903.0
733234,733234,-108.0
733231,733233,1180.0
733230,733230,-284.0
733227,733227,99.0
733224,733226,2092.0
733220,733223,1062.0
733219,733219,-1857.0
733218,733218,1680.0
733217,733217,-468.0
733216,733216,18.0
733211,733213,-129.0
733209,733210,1233.0
733206,733206,-122.0
733205,733205,524.0
733199,733204,2447.0
733198,733198,2561.0
733195,733197,1242.0
733192,733192,795.0
733191,733191,-1356.0
733190,733190,2158.0
733189,733189,-637.0
733188,733188,177.0
733183,733185,370.0
733177,733182,3476.0
733176,733176,-468.0
733174,733175,851.0
733171,733171,-76.0
733170,733170,701.0
733169,733169,-1183.0
733162,733168,6368.0
733161,733161,-1852.0
733157,733160,1098.0
733155,733156,95.0
733147,733154,3625.0
733143,733146,502.0
733142,733142,52.0
733141,733141,-1063.0
733140,733140,360.0
733139,733139,-271.0
733132,733136,3995.0
733128,733129,346.0
733121,733127,2583.0
733120,733120,-3109.0
733119,733119,1893.0
733115,733118,-1686.0
733114,733114,105.0
733113,733113,-201.0
733112,733112,2362.0
733107,733111,891.0
733106,733106,976.0
733105,733105,-830.0
733104,733104,994.0
733101,733101,-2064.0
733092,733100,3290.0
733086,733091,803.0
733079,733085,3620.0
733078,733078,-2107.0
733073,733073,1589.0
733072,733072,-798.0
733065,733071,6058.0
733064,733064,-1863.0
733063,733063,2392.0
733062,733062,-3794.0
733059,733059,467.0
733056,733058,1666.0
733055,733055,238.0
733052,733052,-1572.0
733049,733051,2744.0
733045,733048,1579.0
733044,733044,78.0
733043,733043,-1070.0
733038,733038,110.0
733037,733037,-513.0
733031,733036,2560.0
733030,733030,-8.0
733028,733029,1878.0
733023,733027,-320.0
733022,733022,230.0
733017,733021,-590.0
733007,733016,6701.0
733006,733006,-1904.0
733002,733003,380.0
732996,733001,545.0
732993,732994,3113.0
732992,732992,-2794.0
732988,732989,809.0
732987,732987,-1002.0
732986,732986,1536.0
732981,732985,178.0
732980,732980,933.0
732979,732979,-661.0
732975,732978,2699.0
732973,732974,-219.0
732971,732972,1814.0
732968,732968,-2376.0
732966,732967,1543.0
732965,732965,-1247.0
732964,732964,513.0
732959,732960,-388.0
732953,732958,3446.0
732951,732952,-1598.0
732950,732950,1875.0
